video_id,person_id,velocity_mean,acceleration_mean,energy_movimiento,cambios_abruptos,simetria_corporal,radio_expansion,target
Violent_0042,3,21.054967779881437,2.6899254402448247,32.45417672002642,4,0.2630767065221169,27.368008175353168,Violent
Normal_0127,1,3.4961756195897933,0.8267828130843624,10.705259327564242,3,0.06120130859613823,27.075201553794642,Normal
Normal_0236,2,2.456441056244162,1.6611360349002882,9.160077495806988,1,0.041487804076692725,37.882839133905186,Normal
Violent_0093,2,12.959728055609613,4.944380852147464,24.672375146412243,8,0.2640270250896683,30.812239471091885,Violent
Violent_0173,3,13.661394927405702,8.033755066742973,21.48913185463662,8,0.21444423480471625,54.51360450176165,Violent
Normal_0157,1,1.0054953834452105,0.0,6.463726844796682,0,0.18453887338592723,31.362459599995724,Normal
Violent_0157,1,4.722132199391805,1.8343338367072644,1.2865525778774902,6,0.2636947810155255,47.72785992622212,Violent
Violent_0076,2,10.389138880180504,4.477438950744213,20.267019086016724,8,0.3318750465469757,45.07678190040882,Violent
Normal_0205,3,2.8083603864522524,1.2736174492772403,6.920531353321079,0,0.15814035822140599,45.79657436605734,Normal
Violent_0046,2,13.762720514921616,5.802769557624525,40.61716024217338,3,0.33644611120656626,49.84525543417657,Violent
Normal_0122,1,3.7562153188974325,0.9532316926764532,8.98212176140937,3,0.08026917702154349,43.84967080296484,Normal
Normal_0128,3,3.5276712025210712,1.2799493078835,5.357410710178765,1,0.10734033571449166,29.050819041460173,Normal
Normal_0143,1,4.361883395337605,1.0086048216857988,10.114513576833595,7,0.21131385932734784,35.46657907216145,Normal
Violent_0132,1,8.447241110152286,5.9425277864884,26.183973645235312,5,0.3076353013822194,51.716051394758296,Violent
Violent_0130,3,13.720445460677524,5.422178399195259,21.514037485763282,3,0.23116270365452754,41.53846577726793,Violent
Normal_0178,3,3.5124510161379767,0.7700508101004706,6.782888905512587,2,0.15803081762073998,40.466829386890936,Normal
Violent_0065,3,9.217994197500776,8.509022885351449,20.380732629793574,6,0.23170915198932873,47.722811082181614,Violent
Normal_0143,3,6.253048086803352,0.4470186361708395,10.585188087247536,5,0.15577906591044854,23.749713808038706,Normal
Violent_0024,3,13.473018787607247,4.280885652248899,29.984119393908344,13,0.26635399779798935,33.755576007644706,Violent
Normal_0104,3,2.3169750384392875,0.0,8.692384806106833,1,0.049946670464656714,13.202358300112195,Normal
Violent_0154,1,10.445880852086905,9.981357515736821,28.168056038926103,6,0.26362309934844574,50.45379628682146,Violent
Violent_0181,2,15.071821134520604,3.042706993179285,25.720899202757515,2,0.4036696336965159,28.434561157094677,Violent
Normal_0040,2,3.0915178505010505,0.941132900243269,8.553577153866106,4,0.12076661051979207,23.30360649308087,Normal
Normal_0080,2,3.8693961266286236,1.548464862432402,5.786353443732655,0,0.1352667490358194,25.96094420608695,Normal
Violent_0181,1,9.622247760004871,5.0497144454963365,21.04218167914886,7,0.3192549193918951,44.411304218222085,Violent
Violent_0114,3,8.387403512057919,5.829465481946174,27.79876792092075,5,0.3145772708526087,42.62714222671454,Violent
Violent_0061,1,11.745870842233526,7.0927531568686,28.32646155381652,5,0.4014296579772129,40.87770927574811,Violent
Normal_0090,3,4.816675517465266,2.1054829852721135,11.484474725927829,0,0.09307014559671609,9.902849999001532,Normal
Violent_0013,1,16.75607883924892,6.285566970416026,22.123567211725057,6,0.29254266664333106,33.387831829155246,Violent
Normal_0005,3,5.059520112333212,2.110063942991535,10.150361369121118,0,0.0864105315962707,26.466776773104225,Normal
Violent_0028,1,18.813961716182877,5.560091928674848,21.25723276227595,3,0.2585537776662194,56.062796273791804,Violent
Normal_0149,3,2.6209777588037424,0.9601695839669927,6.851765609070256,2,0.10194187992165657,33.22517529321052,Normal
Violent_0001,2,14.516285139744934,3.605419686330956,28.36509330753381,6,0.24184885509646492,33.05241124276129,Violent
Violent_0022,2,10.9053201401318,8.783713656963904,31.163625766173105,5,0.23412673481193705,54.090712753513145,Violent
Violent_0134,2,11.933882249161424,4.933841244071921,32.70819088967032,9,0.27819046617567456,48.12556546905104,Violent
Violent_0189,2,13.79280997531576,7.891375700583105,32.90532214554411,1,0.2834861962434476,33.697166874539356,Violent
Normal_0093,3,3.4333810673685647,0.6953031606384404,7.255815212625721,2,0.14621932920701172,31.61823784258004,Normal
Violent_0234,3,14.962642376031551,4.965521101403969,21.697572003793727,7,0.17576834033494743,45.21643182750167,Violent
Violent_0088,1,3.7201673560474324,4.635455944652478,22.559426535419348,7,0.29906280218316095,32.96697623634151,Violent
Normal_0194,2,6.07323599962052,0.6030686038891168,5.799420852593851,1,0.08353078407103413,30.680666959710358,Normal
Violent_0115,2,15.74099955035206,4.839897304238001,27.96282698830915,8,0.34304041050167444,47.12050737842847,Violent
Normal_0029,2,1.8855006853997711,1.1513411831321612,7.669919915928479,0,0.17784053507748981,36.87515923723813,Normal
Violent_0126,1,7.465304671099117,6.178725526228109,18.153359321918543,4,0.2964511063342317,60.83026844959674,Violent
Normal_0041,1,2.9414644007100508,1.2468360500206144,14.29060933579056,2,0.11300646588905798,31.058360679488757,Normal
Violent_0126,1,14.487827233310608,9.326763519669075,33.06867123373615,7,0.226946332068655,44.827356094117015,Violent
Normal_0211,1,3.2580578395025284,1.2990954264832706,7.0022217611637245,3,0.16476112942614907,36.340895621413736,Normal
Violent_0194,1,15.020667329816026,5.623591162737811,14.607746970541934,7,0.30374117190066,37.022438209913076,Violent
Normal_0224,3,4.479616559638896,0.6651346049603057,9.946542424990609,1,0.14426761150939504,22.349199364794533,Normal
Normal_0185,2,3.0615867676483446,0.6748940211248737,8.974976383901073,2,0.11540723047520951,33.62538023614686,Normal
