user_id,peso_precio,peso_comodidad,peso_rapidez,viajes_previos
0,0.22690752829215408,0.05998595155924924,0.7131065201485965,8
1,0.23903376602443416,0.24806382723845682,0.5129024067371091,2
2,0.33972281847788377,0.40356782625750376,0.2567093552646123,21
3,0.3748732920670675,0.2800197087789949,0.34510699915393767,3
4,0.6479105868952686,0.22211114523863032,0.1299782678661011,6
5,0.1219533350488281,0.234405988486867,0.643640676464305,6
6,0.17967679975264456,0.25425383452151157,0.5660693657258439,13
7,0.36600066283936766,0.15276345516343198,0.48123588199720035,24
8,0.4285821640142395,0.5134551635297513,0.05796267245600925,1
9,0.3758158239609551,0.41741317204635214,0.2067710039926926,4
10,0.5442393596329543,0.27663149940680054,0.17912914096024513,8
11,0.06532315872585966,0.6186143974935746,0.3160624437805657,3
12,0.49429144564391,0.23927866338726658,0.2664298909688233,1
13,0.49147172736463385,0.20255722156086162,0.3059710510745046,22
14,0.2132609466081648,0.23162869160929453,0.5551103617825407,6
15,0.1132545949710883,0.30628793590459985,0.5804574691243118,15
16,0.03051592059318306,0.07551307763936078,0.8939710017674561,22
17,0.4689623265197784,0.1509669760531698,0.3800706974270517,18
18,0.222319727078733,0.34497151720584207,0.43270875571542505,2
19,0.7659749553887839,0.02409529083881138,0.20992975377240475,9
20,0.4838075636971927,0.28425821785433175,0.23193421844847564,2
21,0.13090560289453554,0.3896698309062215,0.479424566199243,23
22,0.7922676834990122,0.10615763873613286,0.1015746777648549,12
23,0.034101976347854744,0.5221434127463146,0.44375461090583074,24
24,0.032782510882998175,0.17215305837652212,0.7950644307404797,10
25,0.5095108360474819,0.2762977966338687,0.21419136731864935,14
26,0.53204119314319,0.30560741384145035,0.1623513930153597,2
27,0.010227520217579358,0.23649489494244538,0.7532775848399753,24
28,0.1686676910737804,0.17243697726051438,0.6588953316657052,21
29,0.3924166144790026,0.23552224982425052,0.3720611356967468,13
30,0.1251362523083244,0.595206731546637,0.27965701614503874,6
31,0.15238453607743768,0.6058068658167065,0.24180859810585584,11
32,0.3787655055241318,0.20584353184722076,0.41539096262864733,11
33,0.33717653344636117,0.5558590012547062,0.10696446529893268,19
34,0.3479317220980996,0.29397383389492643,0.3580944440069741,8
35,0.39085230156614864,0.3960620819780354,0.21308561645581603,16
36,0.3865459494445798,0.16537708831057069,0.4480769622448495,20
37,0.571719163645145,0.3108450032353011,0.11743583311955383,5
38,0.10143661338090111,0.2895439542525939,0.609019432366505,19
39,0.308732914406484,0.20467180927341858,0.48659527632009747,13
