id,ts,consumo
1,2025-01-01 00:00:00,4.97
1,2025-01-01 00:15:00,5.247
1,2025-01-01 00:30:00,5.541
1,2025-01-01 00:45:00,5.05
1,2025-01-01 01:00:00,6.011
1,2025-01-01 01:15:00,5.556
1,2025-01-01 01:30:00,5.58
1,2025-01-01 01:45:00,5.503
1,2025-01-01 02:00:00,6.01
1,2025-01-01 02:15:00,5.934
1,2025-01-01 02:30:00,6.04
1,2025-01-01 02:45:00,5.894
1,2025-01-01 03:00:00,5.656
1,2025-01-01 03:15:00,5.571
1,2025-01-01 03:30:00,5.604
1,2025-01-01 03:45:00,5.015
1,2025-01-01 04:00:00,5.075
1,2025-01-01 04:15:00,5.023
1,2025-01-01 04:30:00,4.647
1,2025-01-01 04:45:00,4.768
1,2025-01-01 05:00:00,4.325
1,2025-01-01 05:15:00,4.407
1,2025-01-01 05:30:00,4.101
1,2025-01-01 05:45:00,4.013
1,2025-01-01 06:00:00,3.356
1,2025-01-01 06:15:00,3.367
1,2025-01-01 06:30:00,3.772
1,2025-01-01 06:45:00,3.345
1,2025-01-01 07:00:00,3.155
1,2025-01-01 07:15:00,3.302
1,2025-01-01 07:30:00,3.144
1,2025-01-01 07:45:00,2.852
1,2025-01-01 08:00:00,2.619
1,2025-01-01 08:15:00,3.197
1,2025-01-01 08:30:00,2.816
1,2025-01-01 08:45:00,2.194
1,2025-01-01 09:00:00,2.75
1,2025-01-01 09:15:00,2.692
1,2025-01-01 09:30:00,2.669
1,2025-01-01 09:45:00,2.336
1,2025-01-01 10:00:00,2.782
1,2025-01-01 10:15:00,2.209
1,2025-01-01 10:30:00,2.684
1,2025-01-01 10:45:00,2.443
1,2025-01-01 11:00:00,2.787
1,2025-01-01 11:15:00,2.261
1,2025-01-01 11:30:00,2.531
1,2025-01-01 11:45:00,2.57
1,2025-01-01 12:00:00,2.282
1,2025-01-01 12:15:00,2.373
1,2025-01-01 12:30:00,2.277
1,2025-01-01 12:45:00,2.515
1,2025-01-01 13:00:00,2.586
1,2025-01-01 13:15:00,2.364
1,2025-01-01 13:30:00,2.552
1,2025-01-01 13:45:00,2.354
1,2025-01-01 14:00:00,2.41
1,2025-01-01 14:15:00,2.107
1,2025-01-01 14:30:00,2.349
1,2025-01-01 14:45:00,2.539
1,2025-01-01 15:00:00,2.807
1,2025-01-01 15:15:00,3.243
1,2025-01-01 15:30:00,3.024
1,2025-01-01 15:45:00,3.083
1,2025-01-01 16:00:00,3.262
1,2025-01-01 16:15:00,2.95
1,2025-01-01 16:30:00,3.448
1,2025-01-01 16:45:00,3.365
1,2025-01-01 17:00:00,3.592
1,2025-01-01 17:15:00,4.407
1,2025-01-01 17:30:00,4.528
1,2025-01-01 17:45:00,4.483
1,2025-01-01 18:00:00,4.549
1,2025-01-01 18:15:00,4.714
1,2025-01-01 18:30:00,4.519
1,2025-01-01 18:45:00,4.613
1,2025-01-01 19:00:00,5.17
1,2025-01-01 19:15:00,5.123
1,2025-01-01 19:30:00,5.176
1,2025-01-01 19:45:00,5.469
1,2025-01-01 20:00:00,5.572
1,2025-01-01 20:15:00,5.718
1,2025-01-01 20:30:00,5.544
1,2025-01-01 20:45:00,5.769
1,2025-01-01 21:00:00,5.467
1,2025-01-01 21:15:00,6.072
1,2025-01-01 21:30:00,6.109
1,2025-01-01 21:45:00,5.394
1,2025-01-01 22:00:00,5.697
1,2025-01-01 22:15:00,5.434
1,2025-01-01 22:30:00,5.398
1,2025-01-01 22:45:00,5.251
1,2025-01-01 23:00:00,5.385
1,2025-01-01 23:15:00,5.066
