timestamp,WaterTemperature,Conductivity,TDS,Ph,Amonio,Nitrito,Nitrato
2024-08-01 00:00:00,24.99,485.2,310.5,7.72,0.098,4.23,2.91
2024-08-01 00:15:00,24.6,483.4,309.4,7.66,0.145,3.12,4.0
2024-08-01 00:30:00,24.5,475.2,304.1,7.64,0.192,5.23,3.27
2024-08-01 00:45:00,24.11,472.7,302.5,7.67,0.125,3.38,1.0
2024-08-01 01:00:00,24.44,480.5,307.5,7.63,0.175,2.76,2.97
2024-08-01 01:15:00,24.34,480.2,307.3,7.58,0.183,3.99,3.29
2024-08-01 01:30:00,24.26,478.5,306.2,7.67,0.169,3.48,2.53
2024-08-01 01:45:00,24.34,480.8,307.7,7.58,0.235,4.9,4.05
2024-08-01 02:00:00,24.32,473.0,302.7,7.56,0.179,3.41,2.94
2024-08-01 02:15:00,24.07,484.2,309.9,7.58,0.123,5.34,3.3
2024-08-01 02:30:00,24.08,487.2,311.8,7.61,0.146,5.77,1.29
2024-08-01 02:45:00,24.13,476.0,304.6,7.57,0.109,5.93,1.75
2024-08-01 03:00:00,24.3,476.3,304.8,7.53,0.132,3.1,4.99
2024-08-01 03:15:00,24.29,488.9,312.9,7.55,0.131,6.46,2.16
2024-08-01 03:30:00,24.02,488.0,312.3,7.49,0.187,3.21,3.4
2024-08-01 03:45:00,24.07,476.9,305.2,7.49,0.113,4.55,3.93
2024-08-01 04:00:00,24.37,477.7,305.7,7.51,0.165,5.28,3.64
2024-08-01 04:15:00,24.53,471.4,301.7,7.49,0.187,5.22,2.23
2024-08-01 04:30:00,24.33,484.9,310.4,7.5,0.174,5.85,4.52
2024-08-01 04:45:00,24.28,483.3,309.3,7.58,0.23,4.81,4.53
2024-08-01 05:00:00,24.61,482.4,308.7,7.5,0.148,6.5,2.68
2024-08-01 05:15:00,24.46,495.8,317.3,7.51,0.183,4.34,5.3
2024-08-01 05:30:00,24.68,481.3,308.0,7.44,0.189,3.97,3.47
2024-08-01 05:45:00,24.88,481.8,308.3,7.48,0.159,5.9,4.33
2024-08-01 06:00:00,24.82,484.1,309.8,7.47,0.138,4.41,2.86
2024-08-01 06:15:00,24.82,481.6,308.2,7.42,0.209,5.2,4.3
2024-08-01 06:30:00,25.01,489.4,313.2,7.47,0.185,6.58,2.46
2024-08-01 06:45:00,24.9,481.9,308.4,7.44,0.136,6.83,3.93
2024-08-01 07:00:00,25.07,483.8,309.6,7.43,0.177,6.36,3.21
2024-08-01 07:15:00,25.12,496.6,317.8,7.46,0.221,5.37,4.13
2024-08-01 07:30:00,25.28,479.8,307.0,7.38,0.232,5.88,5.19
2024-08-01 07:45:00,25.35,476.1,304.7,7.4,0.216,4.6,4.18
2024-08-01 08:00:00,25.51,484.4,310.0,7.41,0.189,8.17,4.25
2024-08-01 08:15:00,25.59,479.8,307.1,7.45,0.244,7.77,3.58
2024-08-01 08:30:00,25.78,479.8,307.1,7.52,0.18,6.66,2.6
2024-08-01 08:45:00,25.89,485.0,310.4,7.48,0.222,4.67,4.15
2024-08-01 09:00:00,26.04,488.9,312.9,7.43,0.187,6.73,3.5
2024-08-01 09:15:00,26.33,474.7,303.8,7.41,0.248,5.33,3.04
2024-08-01 09:30:00,26.0,482.8,309.0,7.47,0.216,6.85,4.48
2024-08-01 09:45:00,26.55,471.6,301.8,7.45,0.207,5.85,3.02
2024-08-01 10:00:00,26.43,489.7,313.4,7.5,0.267,7.9,4.67
2024-08-01 10:15:00,26.39,478.0,306.0,7.42,0.168,6.16,3.87
2024-08-01 10:30:00,26.66,488.2,312.4,7.48,0.188,4.38,6.3
2024-08-01 10:45:00,,,,,,,
2024-08-01 11:00:00,,,,,,,
2024-08-01 11:15:00,,,,,,,
2024-08-01 11:30:00,,,,,,,
2024-08-01 11:45:00,,,,,,,
2024-08-01 12:00:00,,,,,,,
2024-08-01 12:15:00,,,,,,,
2024-08-01 12:30:00,27.52,482.0,308.5,7.55,0.166,8.47,4.8
2024-08-01 12:45:00,27.6,483.7,309.5,7.61,0.229,6.9,6.92
2024-08-01 13:00:00,27.72,494.9,316.7,7.59,0.185,8.03,4.89
2024-08-01 13:15:00,27.69,475.3,304.2,7.61,0.236,7.87,6.44
2024-08-01 13:30:00,27.72,478.0,305.9,7.54,0.241,8.73,6.76
2024-08-01 13:45:00,27.72,483.7,309.6,7.6,0.221,7.6,5.73
2024-08-01 14:00:00,,,,,,,
2024-08-01 14:15:00,,,,,,,
2024-08-01 14:30:00,,,,,,,
2024-08-01 14:45:00,,,,,,,
2024-08-01 15:00:00,,,,,,,
2024-08-01 15:15:00,,,,,,,
2024-08-01 15:30:00,,,,,,,
2024-08-01 15:45:00,,,,,,,
2024-08-01 16:00:00,,,,,,,
2024-08-01 16:15:00,,,,,,,
2024-08-01 16:30:00,,,,,,,
2024-08-01 16:45:00,,,,,,,
2024-08-01 17:00:00,,,,,,,
2024-08-01 17:15:00,27.43,485.1,310.4,7.71,0.241,7.95,7.02
2024-08-01 17:30:00,27.51,483.9,309.7,7.69,0.298,7.59,7.52
2024-08-01 17:45:00,27.42,483.4,309.4,7.7,0.275,8.63,4.96
2024-08-01 18:00:00,27.36,491.8,314.7,7.72,0.113,8.33,5.8
2024-08-01 18:15:00,27.24,479.3,306.7,7.67,0.234,8.32,6.11
2024-08-01 18:30:00,27.3,488.0,312.3,7.73,0.232,9.74,6.06
2024-08-01 18:45:00,27.15,495.7,317.3,7.72,0.268,9.34,7.04
2024-08-01 19:00:00,26.99,479.2,306.7,7.76,0.209,8.8,6.72
2024-08-01 19:15:00,26.69,477.1,305.3,7.72,0.287,10.4,4.76
2024-08-01 19:30:00,26.58,491.8,314.8,7.76,0.238,10.42,5.39
2024-08-01 19:45:00,26.29,483.0,309.1,7.74,0.218,9.76,5.18
2024-08-01 20:00:00,26.57,483.5,309.5,7.75,0.209,8.99,6.79
2024-08-01 20:15:00,26.08,491.9,314.8,7.76,0.296,9.75,5.96
2024-08-01 20:30:00,26.37,490.0,313.6,7.68,0.268,8.47,5.28
2024-08-01 20:45:00,26.39,484.1,309.9,7.73,0.285,7.99,6.33
2024-08-01 21:00:00,25.84,486.3,311.3,7.75,0.244,8.63,4.01
2024-08-01 21:15:00,25.78,479.5,306.9,7.71,0.295,9.36,5.33
2024-08-01 21:30:00,25.69,485.0,310.4,7.78,0.311,6.84,7.05
2024-08-01 21:45:00,25.77,488.1,312.4,7.7,0.212,9.54,7.81
2024-08-01 22:00:00,25.4,492.0,314.9,7.71,0.281,10.0,4.57
2024-08-01 22:15:00,25.4,492.4,315.1,7.73,0.27,11.04,7.41
2024-08-01 22:30:00,25.23,499.4,319.6,7.7,0.278,10.22,4.94
2024-08-01 22:45:00,25.17,488.6,312.7,7.64,0.231,9.01,7.23
2024-08-01 23:00:00,25.29,495.1,316.9,7.7,0.27,10.82,6.17
2024-08-01 23:15:00,24.86,490.9,314.1,7.69,0.26,10.5,5.67
2024-08-01 23:30:00,24.91,483.4,309.4,7.68,0.241,10.7,7.15
2024-08-01 23:45:00,24.85,491.3,314.5,7.67,0.234,10.07,5.59
2024-08-02 00:00:00,24.86,491.6,314.6,7.64,0.278,10.27,7.45
2024-08-02 00:15:00,24.46,493.7,316.0,7.67,0.265,10.1,4.97
2024-08-02 00:30:00,24.74,492.7,315.3,7.61,0.281,10.05,7.24
2024-08-02 00:45:00,24.57,490.6,314.0,7.64,0.282,8.05,6.86
2024-08-02 01:00:00,24.57,484.6,310.1,7.61,0.278,11.44,7.6
2024-08-02 01:15:00,24.4,488.2,312.4,7.62,0.266,9.69,9.42
2024-08-02 01:30:00,24.09,491.9,314.8,7.61,0.26,12.17,4.78
2024-08-02 01:45:00,24.2,494.1,316.2,7.62,0.269,10.34,8.26
2024-08-02 02:00:00,24.38,495.2,316.9,7.56,0.241,8.72,6.04
2024-08-02 02:15:00,24.24,492.6,315.3,7.55,0.244,10.92,5.59
2024-08-02 02:30:00,24.21,494.3,316.4,7.51,0.293,9.58,6.1
2024-08-02 02:45:00,24.47,499.2,319.5,7.53,0.305,10.06,7.41
2024-08-02 03:00:00,24.53,491.9,314.8,7.57,0.313,11.27,8.06
2024-08-02 03:15:00,24.2,487.6,312.1,7.49,0.249,11.18,6.49
2024-08-02 03:30:00,24.51,482.4,308.7,7.49,0.338,10.22,6.77
2024-08-02 03:45:00,23.94,491.2,314.4,7.54,0.284,9.88,6.62
2024-08-02 04:00:00,23.95,494.8,316.7,7.45,0.308,8.91,7.93
2024-08-02 04:15:00,24.43,488.9,312.9,7.49,0.309,11.82,5.23
2024-08-02 04:30:00,24.3,500.2,320.1,7.48,0.307,11.51,6.51
2024-08-02 04:45:00,24.47,486.2,311.1,7.44,0.312,9.18,4.78
2024-08-02 05:00:00,24.52,489.2,313.1,7.49,0.241,10.25,5.39
2024-08-02 05:15:00,24.49,491.3,314.4,7.46,0.311,9.8,7.18
2024-08-02 05:30:00,24.67,484.2,309.9,7.46,0.257,13.34,6.49
2024-08-02 05:45:00,24.67,497.8,318.6,7.44,0.282,10.53,6.55
2024-08-02 06:00:00,24.5,487.3,311.9,7.43,0.29,12.94,6.25
2024-08-02 06:15:00,24.85,484.8,310.3,7.38,0.299,14.22,8.09
2024-08-02 06:30:00,24.93,481.0,307.8,7.4,0.301,11.47,8.71
2024-08-02 06:45:00,,,,,,,
2024-08-02 07:00:00,,,,,,,
2024-08-02 07:15:00,,,,,,,
2024-08-02 07:30:00,,,,,,,
2024-08-02 07:45:00,,,,,,,
2024-08-02 08:00:00,,,,,,,
2024-08-02 08:15:00,,,,,,,
2024-08-02 08:30:00,,,,,,,
2024-08-02 08:45:00,,,,,,,
2024-08-02 09:00:00,,,,,,,
2024-08-02 09:15:00,,,,,,,
2024-08-02 09:30:00,,,,,,,
2024-08-02 09:45:00,,,,,,,
2024-08-02 10:00:00,,,,,,,
2024-08-02 10:15:00,,,,,,,
2024-08-02 10:30:00,26.62,489.2,313.1,7.45,0.234,11.49,7.99
