Fecha,PCE CYOY Index,CPI XYOY Index,IPC services - CSXHSPCY Index,Salarios - AHE YOY Index,Unit Labor Cost - COSTNFR Index,Nominas - NFP TCH Index,Tasa de desempleo - USURTOT Index,ISM servicios - NAPMNMI Index,ISM Manuf - NAPMPMI Index,ISM prices paid - NAPMNPRC Index,Ventas al detalle - RSTAXAGM Index,Viviendas nuevas - NHSLTOT Index,GDP Real YoY - EHGDUSY Index,Foreign holdings - FARBTRSE Index,USGG3M Index,USGG6M Index,USGG12M Index,USGG2Y Index,USGG3Y Index,USGG5Y Index,USGG10Y Index,USGG30Y Index
2019-01-02,-0.030889918039858032,0.3930521555610779,0.3651938582415677,0.07118151507132373,-0.1518914762865999,-0.32701468127300537,-0.12447316039460268,0.16259424109975196,0.17271269197838351,0.27424410358410384,-0.1607902822491288,-0.18472637516224882,-0.16258335089872325,0.2028558366876377,1.4862562245957136,1.5982717044925105,1.7131511336333696,1.903915814428686,2.092258381520997,2.391044012380182,2.6915864142384733,2.989958451199473
2019-01-03,0.011739772500170807,0.24059154310481898,0.15338925032451906,-0.01696289051418834,-0.0923263635313355,-0.17502356256663115,-0.2966438321825719,0.18097533857851636,0.31005689290262634,0.010060289859675345,-0.1033695536516924,-0.19610838095155303,-0.12107274110589791,0.16627198136148513,1.4996810356300445,1.582380768664704,1.707723493749509,1.8737802904156007,2.0681478858074174,2.355288988455396,2.618643980363485,2.9453945861976423
2019-01-04,-0.1126110340301037,0.12747602111250123,0.2775005596707196,-0.11582991600423999,-0.21454355551117874,-0.31933411646984966,-0.013082254117461327,0.31369722414133017,0.2480617960808898,-0.026654896561631836,-0.17307193748468785,-0.3343795480931323,-0.037352702223011305,-0.05428931709146806,1.4875307793464678,1.5612860448199208,1.702197000475197,1.9149668059783025,2.0817949209470084,2.398154378574158,2.6412294119355115,2.973739217780838
2019-01-07,-0.12172295700247743,0.2903074285304723,0.40738655243537997,-0.009846736460421182,-0.033651589028698636,-0.2367433901379251,-0.1134024984065916,0.1887432661074281,0.2236359861487401,0.11197809645316889,-0.2023007231007198,-0.3168889949795098,-0.08277370877741902,-0.08388821697565985,1.4928286187447235,1.588346188026772,1.7331277040061734,1.9218420552972852,2.1118190975055486,2.4287499716503493,2.648243455512399,2.971400115611393
2019-01-08,0.04115415937947245,0.2362934423382325,0.13830914458881946,0.14507406142408022,-0.3662074575740697,-0.27633622030377336,-0.01389266473989826,0.19807605625700553,0.19273087245562848,-0.00984019488814683,-0.20276633252224432,-0.4591884369884194,-0.11908675572290492,-0.03680038101612401,1.4360459899931726,1.5509882922371034,1.7002236066278449,1.8678069928530447,2.074471563150979,2.4036746792356434,2.6232588819086167,2.962264289189175
2019-01-09,-0.04963573598461929,0.24648486566041275,0.37425961520307993,0.1316649316601648,-0.17499940888177679,-0.25841791168700395,0.060698011733563574,0.21577545670145548,0.19368698999823877,-0.03387642043025568,-0.24715027135082707,-0.4899744706819976,-0.19986959374498775,0.011100073016675566,1.4291571123388969,1.5091100648195899,1.7031730333404198,1.8317019495561966,2.0711144046506256,2.380056923090708,2.5900884580652557,2.904984335082842
2019-01-10,-0.11256171430375897,0.31717286541622575,0.4140659143748029,0.09857170556921716,-0.3560312816867789,-0.24140728938212316,-0.004769426343374492,0.31165148160934286,0.38603323133576695,0.19975260198198547,-0.06915032459945111,-0.2068847634981109,-0.08959975542155443,0.08234621425950153,1.4291404527489975,1.4866984782033077,1.7221374025836163,1.8645398220181126,2.0568630302797883,2.3891657729157867,2.578027858200013,2.896100577600558
2019-01-11,0.13540800443672557,0.34973896782914043,0.2189114383343235,0.026564539151888562,-0.16227449300552177,-0.29489495831174,0.014677216619685636,0.1496622771252017,0.2154072607560024,-0.04636827525755194,-0.20085415729926126,-0.18654047318845274,-0.28433362141707935,0.12625008884568012,1.4344330214601064,1.4798021916801334,1.7454769224759557,1.8487058531367584,2.0717049514676487,2.385209903719946,2.5878896316271778,2.882043130514091
2019-01-14,-0.01948219144899424,0.28048657466909077,0.20031770720558054,0.04574789637145962,-0.20768062369374887,-0.3706435275196801,-0.09817777336038097,0.059612313268725736,0.34233074266133645,0.04458013848808741,-0.2987934934229402,-0.2235512649059143,-0.18324807358748907,0.16811077983037245,1.433353615746747,1.4776205866266225,1.730932728704207,1.8616186611743808,2.0850337580961398,2.3979440846845717,2.6183073225475915,2.9078121149437632
2019-01-15,0.16650769431167575,0.27007176998943894,0.33952773174912965,-0.009312105161442107,-0.0927995920330067,-0.17410622245050758,0.06232115565780986,0.05256647656244437,0.22382692895768003,-0.13820445191031303,-0.44134405948273936,-0.22410652713094598,-0.0425156184338982,0.1881757675798153,1.4106685668475383,1.4666504085883227,1.7035143652717952,1.8453904791998748,2.0558655947860713,2.417134070025217,2.6092515875123277,2.8876797560139855
